Name,Release_Year,Genres,Review_Score,Avg_Main_Story,Avg_Main_+_Extras,Avg_Completionist,Avg_All_PlayStyles,Speedrun_Avg,Speedrun_Fastest,Speedrun_Slowest,Primary_Genre
Mass Effect 2,2010.0,"Third-Person, Action, Role-Playing, Shooter",90,24.83,35.9,51.65,37.12,7.65,3.93,11.57,Shooter
Resident Evil 5,2009.0,"Third-Person, Action, Horror, Shooter, Survival",72,12.07,17.65,34.4,15.92,2.7,1.08,4.7,Horror
Don't Starve Together,2014.0,"Point-and-Click, Third-Person, Real-Time, Survival",74,35.42,117.72,208.5,97.03,,,,Point-and-Click
Halo: The Master Chief Collection,2014.0,"First-Person, Compilation, Shooter",86,43.32,76.62,277.67,65.55,12.0,12.0,12.0,Shooter
Horizon Forbidden West,2022.0,"Third-Person, Action, Adventure, Open World, Role-Playing",85,28.3,62.47,89.05,65.83,,,,Adventure
Days Gone,2019.0,"Third-Person, Action, Adventure, Open World, Shooter",79,35.9,51.37,66.35,51.78,8.67,8.67,8.67,Adventure
The Forest,2014.0,"First-Person, Survival Horror",73,15.53,29.02,57.75,27.53,1.6,0.58,2.63,Horror
Warhammer: Vermintide 2,2018.0,Action,72,11.07,31.48,130.85,30.4,,,,Action
Outlast,2013.0,"First-Person, Survival Horror",76,5.32,7.1,11.4,6.3,1.1,0.13,3.4,Horror
Metal Gear Rising: Revengeance,2013.0,"Action, Hack and Slash",82,7.25,11.82,40.18,9.25,3.05,1.65,5.0,Action
Death Stranding: Director's Cut,2021.0,Action,84,37.45,58.82,108.22,62.6,,,,Action
Alan Wake,2010.0,"Third-Person, Action, Horror, Shooter, Survival",79,11.4,14.78,27.27,13.87,3.3,2.6,4.0,Horror
A Plague Tale: Requiem,2022.0,"Third-Person, Action, Adventure, Stealth",83,17.13,19.8,28.23,19.23,,,,Adventure
Brothers: A Tale of Two Sons,2013.0,"Third-Person, Adventure",81,3.12,3.55,4.07,3.48,1.77,1.07,2.35,Adventure
Fallout 3: Game of the Year Edition,2009.0,"First-Person, Third-Person, Action, Open World, Role-Playing, Shooter",83,28.02,64.0,113.9,65.62,3.18,0.32,6.38,Shooter
Hitman 2,2018.0,"Third-Person, Action, Open World, Stealth",81,10.3,30.0,132.67,25.83,,,,Action
Cities: Skylines,2015.0,"Top-Down, Real-Time, City-Building",78,28.47,58.57,156.77,55.77,,,,Top-Down
Saints Row IV: Re-Elected,2015.0,"Third-Person, Action, Open World, Shooter",73,15.22,25.37,42.25,27.4,,,,Shooter
"Papers, Please",2013.0,"Text, Point-and-Click, Real-Time, Puzzle, Simulation",81,4.9,8.48,16.58,7.9,1.45,1.45,1.45,Puzzle
Detroit: Become Human,2018.0,"Third-Person, Adventure",83,12.0,16.12,32.2,14.8,4.23,2.9,5.67,Adventure
Saints Row: The Third,2011.0,"Third-Person, Action, Adventure, Open World, Shooter",79,15.63,28.22,47.1,27.53,6.85,4.42,11.2,Adventure
Rocket League,2015.0,Sports,80,5.17,27.62,93.58,45.02,,,,Sports
SUPERHOT,2016.0,"First-Person, Action, Puzzle, Shooter",77,2.48,5.45,20.3,3.82,0.8,0.33,1.27,Shooter
Darksiders,2010.0,"Third-Person, Action, Adventure, Hack and Slash",75,17.15,20.55,28.22,20.23,9.0,9.0,9.0,Adventure
Metro 2033,2010.0,,77,9.63,12.12,21.6,11.05,6.02,5.0,6.98,
Hitman,2016.0,"Third-Person, Stealth",80,10.88,26.82,96.13,23.58,,,,Stealth
Mirror's Edge,2008.0,"First-Person, Platform",75,6.28,8.23,12.8,6.97,1.78,0.55,4.5,Platform
Borderlands: Game of the Year,2010.0,"First-Person, Action, Role-Playing, Shooter",76,22.13,40.1,84.4,41.5,,,,Shooter
Spec Ops: The Line,2012.0,"Third-Person, Action, Shooter",79,6.22,7.7,15.92,7.23,3.27,2.03,4.5,Shooter
Alien: Isolation,2014.0,"First-Person, Stealth",83,18.75,23.27,34.12,21.43,7.5,7.5,7.5,Stealth
Metal Gear Solid V: Ground Zeroes,2014.0,"Third-Person, Action, Adventure, Stealth, Tactical",73,1.88,7.02,20.3,4.9,0.27,0.05,0.87,Adventure
Star Wars: Knights of the Old Republic,2003.0,"Third-Person, Real-Time, Role-Playing",88,29.22,36.93,48.32,36.98,12.0,2.02,17.4,Real-Time
GRIS,2018.0,Platform,80,3.58,4.18,6.65,4.17,,,,Platform
Resident Evil Village,2021.0,"First-Person, Horror, Shooter, Survival",84,9.78,12.75,37.35,12.68,2.38,1.48,4.73,Horror
The Last of Us Remastered,2014.0,"Third-Person, Action, Adventure, Horror, Shooter, Survival",91,14.67,18.3,31.58,16.92,5.82,4.25,10.0,Horror
Bully: Scholarship Edition,2008.0,"Third-Person, Action, Adventure, Sandbox",81,14.83,19.82,27.62,19.55,8.18,6.38,10.0,Adventure
God of War,2005.0,"Action, Adventure, Hack and Slash",81,9.12,9.95,13.28,9.78,3.48,2.23,5.0,Adventure
Grim Fandango,1998.0,"Point-and-Click, Adventure",81,10.85,11.62,12.35,11.47,2.7,1.58,4.02,Adventure
Into the Breach,2018.0,Turn-Based,82,5.95,20.2,51.42,17.15,2.0,2.0,2.0,Turn-Based
Neon White,2022.0,"First-Person, Action, Platform, Shooter",86,11.32,17.8,23.33,18.52,0.87,0.87,0.87,Shooter
Octopath Traveler,2018.0,"Turn-Based, Role-Playing",80,61.0,80.27,106.28,78.75,0.65,0.65,0.65,Turn-Based
Call of Duty: Black Ops II,2012.0,"First-Person, Shooter",76,7.07,10.92,32.52,9.22,5.0,4.0,5.53,Shooter
Elite: Dangerous,2014.0,Adventure,75,86.07,201.33,456.27,215.68,,,,Adventure
Rogue Legacy,2013.0,"Action, Platform, Role-Playing",79,16.78,26.58,36.95,22.52,2.83,0.45,5.22,Action
